Báo cáo quảng cáo trả theo CPC - Shopee Việt Nam
Tên đăng nhập,tonastore2015
Tên gian hàng,TÔ NA STORE
Mã Người bán,104950351
Thời gian tạo báo cáo,10/09/2024 23:25
Khoảng thời gian,01/08/2024 - 31/08/2024

Thứ tự,Tên quảng cáo,Trạng thái,Loại quảng cáo,Mã sản phẩm,Nội dung quảng cáo,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm
1,YM166 - Yang Mi Bộ Jean HQ Cho Bé thời trang vải denim mềm mại dày dặn thoáng mát phong cách hàn quốc cho bé 5-15kg [2],Đang diễn ra,Quảng cáo Sản phẩm,26256438295,-,Giá thầu Thủ công,Khám phá,01/08/2024 00:00:00,Không giới hạn,21793,760,3.49%,38,7,5.00%,0.92%,10632.78,57720.79,40,7,989100,696600,404046,2.45,1.72,40.85%,58.00%,-,-,-
2,YM44 - Yang Mi Bộ Hai Dây Cánh Tiên Muslin thời trang hè mát mẻ cho bé 5-15kg [2],Đang diễn ra,Quảng cáo Sản phẩm,22149779565,-,Giá thầu Thủ công,Khám phá,01/08/2024 00:00:00,Không giới hạn,18489,623,3.37%,8,1,1.28%,0.16%,41672.08,333376.61,8,1,300150,117450,333377,0.90,0.35,111.07%,283.85%,-,-,-
3,YM50 - Yang Mi Váy Bèo Muslin Bé Gái Váy 2 dây Babydoll Yang Mi mùa hè cho bé gái 5-15kg,Đang diễn ra,Quảng cáo Sản phẩm,18282411215,-,Giá thầu Thủ công,Khám phá,08/08/2024 00:00:00,Không giới hạn,11038,429,3.89%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,210482,0.00,0.00,0.00%,0.00%,-,-,-
4,YM166 - Yang Mi Bộ Jean HQ Cho Bé thời trang vải denim mềm mại dày dặn thoáng mát phong cách hàn quốc cho bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,26256438295,-,Giá thầu Thủ công,Tìm kiếm,01/08/2024 00:00:00,Không giới hạn,15404,713,4.63%,24,4,3.37%,0.56%,23364.53,140187.19,25,5,630000,630000,560749,1.12,1.12,89.01%,89.01%,-,-,-
5,YM35 - Yang Mi Bộ Bơi Bé Gái Dây Chéo Kèm Mũ cho bé gái 5-15kg [2],Tạm dừng,Quảng cáo Sản phẩm,22947831954,-,Giá thầu Thủ công,Tất cả,19/08/2024 00:00:00,Không giới hạn,9663,243,2.51%,1,0,0.41%,0.00%,133634.75,0.00,1,0,69000,0,133635,0.52,0.00,193.67%,0.00%,-,-,-
6,YM32 - Yang Mi Quần Bí Ngô Muslin cho bé từ 5-15kg Quần lót họa tiết hoạt hình chất liệu mềm mịn thoáng mát [3],Tạm dừng,Quảng cáo Sản phẩm,16795108180,-,Giá thầu Thủ công,Khám phá,01/08/2024 00:00:00,Không giới hạn,6262,174,2.78%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,95875,0.00,0.00,0.00%,0.00%,-,-,-
7,YM44 - Yang Mi Bộ Hai Dây Cánh Tiên Muslin thời trang hè mát mẻ cho bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,22149779565,-,Giá thầu Thủ công,Tìm kiếm,01/08/2024 00:00:00,Không giới hạn,5549,317,5.71%,6,1,1.89%,0.32%,37828.27,226969.64,18,3,396000,121500,226970,1.74,0.54,57.32%,186.81%,-,-,-
8,YM149 -  Yang Mi Bộ Dệt Kim Túi Trước Phong Cách Thể Thao Vải Cotton Mềm Mịn Cho Bé 5-15kg [2],Tạm dừng,Quảng cáo Sản phẩm,25968360380,-,Giá thầu Thủ công,Khám phá,22/08/2024 00:00:00,Không giới hạn,4726,108,2.29%,6,0,5.56%,0.00%,9083.76,0.00,6,0,508500,0,54503,9.33,0.00,10.72%,0.00%,-,-,-
9,YM30 - Yang Mi Quần Bomber Muslin mềm mịn hoạ tiết đáng yêu cho bé 5-15kg - YM30,Tạm dừng,Quảng cáo Sản phẩm,23046341366,-,Giá thầu Thủ công,Khám phá,09/08/2024 00:00:00,Không giới hạn,3363,132,3.93%,6,1,4.55%,0.76%,11527.57,69165.45,8,3,240300,240300,69165,3.47,3.47,28.78%,28.78%,-,-,-
10,YM164 - Yang Mi Bộ Cộc Cánh Dơi Cho Bé vải tăm gân mềm mịn thời trang hè cho bé 5-15KG,Tạm dừng,Quảng cáo Sản phẩm,29753986451,-,Giá thầu Thủ công,Khám phá,08/08/2024 00:00:00,Không giới hạn,3229,107,3.31%,1,0,0.93%,0.00%,53266.55,0.00,1,0,83400,0,53267,1.57,0.00,63.87%,0.00%,-,-,-
